id,match_id,match_full_time,extra_full_time,player_id,back_number,player_name,player_last_name,team_id,team_name,event_time,event_period,is_side_changed,event_types,filtered_event_types,x,y,relative_player_id,relative_player_name,relative_player_last_name,relative_x,relative_y
32126760,25199,5400000,0,175817,12,Agustín,Urzi,9829,FC Hercules,414,FIRST_HALF,True,passSucceeded passSucceededFrom11 passSucceededTo8 passSucceededFrom11To8 backwardPassSucceeded shortPassSucceeded passSucceededFrom11 passSucceededTo8 passSucceededFrom11To8 backwardPassSucceeded shortPassSucceeded,passSucceeded,0.504262,0.500207,175820,Zlatko,Junuzović,0.435774,0.423165
32126761,25199,5400000,0,175820,10,Zlatko,Junuzović,9829,FC Hercules,1337,FIRST_HALF,True,passReceived,passReceived,0.435774,0.423165,,,,,
32126762,25199,5400000,0,175820,10,Zlatko,Junuzović,9829,FC Hercules,2139,FIRST_HALF,True,passSucceeded passSucceededFrom8 passSucceededTo5 passSucceededFrom8To5 backwardPassSucceeded mediumPassSucceeded passSucceededFrom8 passSucceededTo5 passSucceededFrom8To5 backwardPassSucceeded mediumPassSucceeded,passSucceeded,0.454006,0.418602,175825,Conor,McAleny,0.60771,0.297294
32126763,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,3458,FIRST_HALF,True,passReceived,passReceived,0.60771,0.297294,,,,,
32126764,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,4722,FIRST_HALF,True,passSucceeded passSucceededFrom5 passSucceededTo8 passSucceededFrom5To8 forwardPassSucceeded shortPassSucceeded passSucceededFrom5 passSucceededTo8 passSucceededFrom5To8 forwardPassSucceeded shortPassSucceeded,passSucceeded,0.598632,0.298215,175822,Joris,Gnagnon,0.644152,0.39186
32126765,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,5974,FIRST_HALF,True,passReceived,passReceived,0.644152,0.39186,,,,,
32126766,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,6799,FIRST_HALF,True,passSucceeded passSucceededFrom8 passSucceededTo5 passSucceededFrom8To5 backwardPassSucceeded shortPassSucceeded passSucceededFrom8 passSucceededTo5 passSucceededFrom8To5 backwardPassSucceeded shortPassSucceeded,passSucceeded,0.635804,0.364999,175825,Conor,McAleny,0.618321,0.26524
32126767,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,7470,FIRST_HALF,True,passReceived,passReceived,0.618321,0.26524,,,,,
32126768,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,8993,FIRST_HALF,True,passSucceeded passSucceededFrom5 passSucceededTo8 passSucceededFrom5To8 forwardPassSucceeded mediumPassSucceeded passSucceededFrom5 passSucceededTo8 passSucceededFrom5To8 forwardPassSucceeded mediumPassSucceeded,passSucceeded,0.647742,0.300908,175817,Agustín,Urzi,0.477505,0.467639
32126769,25199,5400000,0,175817,12,Agustín,Urzi,9829,FC Hercules,10126,FIRST_HALF,True,passSucceeded passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 sidewaysPassSucceeded shortPassSucceeded passReceived passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 sidewaysPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.477505,0.467639,175821,Douglas Arthur,Silbeira Martins,0.629079,0.522846
32127376,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,11381,FIRST_HALF,True,aerialDuelFailed,aerialDuelFailed,0.358153,0.474963,,,,,
32126770,25199,5400000,0,175821,20,Douglas Arthur,Silbeira Martins,9829,FC Hercules,11512,FIRST_HALF,True,aerialDuelSucceeded passSucceeded passSucceededFrom11 passSucceededTo11 passSucceededFrom11To11 backwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom11 passSucceededTo11 passSucceededFrom11To11 backwardPassSucceeded shortPassSucceeded,aerialDuelSucceeded passSucceeded passReceived,0.629079,0.522846,175817,Agustín,Urzi,0.651039,0.509306
32126771,25199,5400000,0,175817,12,Agustín,Urzi,9829,FC Hercules,12506,FIRST_HALF,True,passReceived,passReceived,0.651039,0.509306,,,,,
32126772,25199,5400000,0,175817,12,Agustín,Urzi,9829,FC Hercules,15252,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo15 passSucceededFrom12To15 forwardPassSucceeded mediumPassSucceeded passSucceededFrom12 passSucceededTo15 passSucceededFrom12To15 forwardPassSucceeded mediumPassSucceeded,passSucceeded,0.736255,0.661982,175819,Magnus,Blakstad,0.94899,0.752952
32126773,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,16519,FIRST_HALF,True,passReceived,passReceived,0.94899,0.752952,,,,,
32126774,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,19254,FIRST_HALF,True,crossFailed passFailed passFailedFrom18 passFailedTo16 passFailedFrom18To16 sidewaysPassFailed longPassFailed passFailedFrom18 passFailedTo16 passFailedFrom18To16 sidewaysPassFailed longPassFailed,crossFailed,0.808112,0.843621,,,,0.0663528,1.0
32126775,25199,5400000,0,,,,,9829,FC Hercules,24516,FIRST_HALF,True,,,0.0663528,1.0,,,,,
32127377,25199,5400000,0,175799,1,Bradley,Lashley,9828,FC Cerberus,35256,FIRST_HALF,True,goalKickSucceeded passSucceeded passSucceededFrom2 passSucceededTo1 passSucceededFrom2To1 sidewaysPassSucceeded shortPassSucceeded passSucceededFrom2 passSucceededTo1 passSucceededFrom2To1 sidewaysPassSucceeded shortPassSucceeded,goalKickSucceeded,0.500275,0.0459622,175802,Éder Marvin,Oliveira Simão,0.293334,0.0708582
32127378,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,36623,FIRST_HALF,True,passReceived,passReceived,0.293334,0.0708582,,,,,
32127379,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,38576,FIRST_HALF,True,passSucceeded passSucceededFrom1 passSucceededTo2 passSucceededFrom1To2 sidewaysPassSucceeded mediumPassSucceeded passSucceededFrom1 passSucceededTo2 passSucceededFrom1To2 sidewaysPassSucceeded mediumPassSucceeded,passSucceeded,0.283132,0.111572,175799,Bradley,Lashley,0.535949,0.0330421
32127380,25199,5400000,0,175799,1,Bradley,Lashley,9828,FC Cerberus,40407,FIRST_HALF,True,passSucceeded passSucceededFrom2 passSucceededTo8 passSucceededFrom2To8 forwardPassSucceeded longPassSucceeded passReceived passSucceededFrom2 passSucceededTo8 passSucceededFrom2To8 forwardPassSucceeded longPassSucceeded,passSucceeded passReceived,0.535949,0.0330421,175808,Kerem,Demirbay,0.451061,0.47842
32126776,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,44107,FIRST_HALF,True,aerialDuelFailed,aerialDuelFailed,0.537928,0.521782,,,,,
